date,ticker,event,yes_team,winner,close_bid,close_ask,close_mid,volume,open_interest,result,settled_ts
2026-04-10,KXMLBGAME-26APR101420PITCHC-PIT,KXMLBGAME-26APR101420PITCHC,Pittsburgh,Pittsburgh,42,43,0.425,47004.00,190337.00,yes,1775842845
2026-04-10,KXMLBGAME-26APR092140COLSD-SD,KXMLBGAME-26APR092140COLSD,San Diego,San Diego,62,63,0.625,281534.00,422995.00,yes,1775787004
2026-04-11,KXMLBGAME-26APR111910WSHMIL-WSH,KXMLBGAME-26APR111910WSHMIL,Washington,Washington,38,39,0.385,21148.00,35333.00,yes,1775946635
2026-04-11,KXMLBGAME-26APR111915SFBAL-SF,KXMLBGAME-26APR111915SFBAL,San Francisco,Baltimore,51,52,0.515,429971.00,606805.00,no,1775947496
2026-04-11,KXMLBGAME-26APR111915CLEATL-CLE,KXMLBGAME-26APR111915CLEATL,Cleveland,Cleveland,47,48,0.475,7890.00,48310.00,yes,1775947266
2026-04-11,KXMLBGAME-26APR111915BOSSTL-STL,KXMLBGAME-26APR111915BOSSTL,St. Louis,Boston,44,45,0.445,20407.00,162440.00,no,1775948085
2026-04-11,KXMLBGAME-26APR111810NYYTB-TB,KXMLBGAME-26APR111810NYYTB,Tampa Bay,Tampa Bay,37,38,0.375,5341.00,35291.00,yes,1775943621
2026-04-11,KXMLBGAME-26APR111610ATHNYM-NYM,KXMLBGAME-26APR111610ATHNYM,New York M,A's,60,61,0.605,100918.00,217766.00,no,1775937621
2026-04-11,KXMLBGAME-26APR111610LAACIN-LAA,KXMLBGAME-26APR111610LAACIN,Los Angeles A,Cincinnati,45,46,0.455,5429.00,26833.00,no,1775937294
2026-04-11,KXMLBGAME-26APR111610CWSKC-KC,KXMLBGAME-26APR111610CWSKC,Kansas City,Kansas City,63,64,0.635,10126.00,60387.00,yes,1775934301
2026-04-11,KXMLBGAME-26APR111507MINTOR-TOR,KXMLBGAME-26APR111507MINTOR,Toronto,Minnesota,52,53,0.525,16783.00,155896.00,no,1775931048
2026-04-11,KXMLBGAME-26APR111420PITCHC-PIT,KXMLBGAME-26APR111420PITCHC,Pittsburgh,Pittsburgh,43,44,0.435,56834.00,127100.00,yes,1775932822
